,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
No.,リンクID,長さ,幅（最少値）,歩道の有無,歩行者数,,庇,素材,MH/HH,,,グレーチング,,,点字B,街灯,,,電気ボックス,,,街路樹,,,移動できる障害物,,,移動できない障害物,,,電柱,,,標識,,,整備不良,,,Goproタイム,,,,,,,,
,,,,,平日,休日,,,700,1400,全部,700,1400,全部,,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,,腕橈骨筋（ＲＴ）,上腕二頭筋（ＲＴ）,上腕三頭筋（ＲＴ）,三角筋（ＲＴ）,腕橈骨筋（ＬＴ）,上腕二頭筋（ＬＴ）,上腕三頭筋（ＬＴ）,三角筋（ＬＴ）
29,15-17,46696.748,3054.5,1,3,1,0,3,1,3,9,0,0,0,0,0,0,3,1,1,1,0,4,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1983,1261.9,2392.96,2413.46,2288.66,1171.96,429.22,4246.0818283404
30,17-15,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1241.41,972.39,1761.22,1960.89,1534.96,1396.24,345.7,5964.64
31,17-18,2255.707,3054.5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
32,18-17,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
33,17-19,12717.793,3054.5,1,0,0,0,3,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1983,1261.9,2392.96,2413.46,2288.66,1171.96,429.22,4246.0818283404
34,19-17,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1241.41,972.39,1761.22,1960.89,1534.96,1396.24,345.7,5964.64
35,19-20,2270.762,3054.5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
36,20-19,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
37,19-21,22068.437,2941.4,1,2,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1983,1261.9,2392.96,2413.46,2288.66,1171.96,429.22,4246.0818283404
38,21-19,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1241.41,972.39,1761.22,1960.89,1534.96,1396.24,345.7,5964.64
39,1-62,132725.156,2999.9,1,6,4,0,3,17,27,29,0,0,0,1,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,113,1935.39,2041.41,3965.89,8921.61,3674.58,5737.19,9148.69,11938.7
40,62-1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2912.11,2724.21,5834.42,14781.74,4297.5,5638.91,9663.16,10084.79
41,62-64,43948.024,1199.3,1,0,1,0,3,7,8,8,0,0,0,0,1,2,2,0,3,3,0,7,7,0,0,0,1,2,2,0,0,0,0,3,3,0,0,0,34,512.29,483.67,744.94,1148.33,578.26,1347.27,864.7,1590.67
